time,open,high,low,close,PlotCandle (Цена откр.),PlotCandle (Макс.,PlotCandle (Мин.),PlotCandle (Закрыть),Kernel Regression Estimate,Distance Above Kernel,Distance Below Kernel,Buy,Sell,StopBuy,StopSell,Upper Envelope: Far,Upper Envelope: Average,Upper Envelope: Near,Envelope Midline,Lower Envelope: Near,Lower Envelope: Average,Lower Envelope: Far,Chars,Chars,Chars,Chars,Shapes,Shapes
1772749800,71116.9,71340,71103.5,71240.5,71116.9,71340,71103.5,71240.5,71182.00234398118,,,,,,,74029.3487496566,72984.06813205141,71938.78751444623,71178.58342891518,70418.37934338413,69373.09872577895,68327.81810817377,0,0,0,0,,
1772750700,71240.5,71313.6,71170.8,71170.9,71240.5,71313.6,71170.8,71170.9,71180.87742106513,,,,,,71170.8,74012.46780813379,72973.2475606054,71934.02731307702,71178.23076942001,70422.434225763,69383.21397823462,68343.99373070624,0,0,0,0,,
1772751600,71170.9,71248.6,71142.2,71164.9,71170.9,71248.6,71142.2,71164.9,71178.3866679545,,,,,,,73991.55515322025,72959.37380402094,71927.19245482163,71176.51510994941,70425.83776507719,69393.65641587788,68361.47506667857,0,0,0,0,,
1772752500,71165,71268.1,71115.8,71187.1,71165,71268.1,71115.8,71187.1,71179.06023643345,,,,,,,73971.99921817885,72947.44488741754,71922.89055665622,71177.76013428436,70432.6297119125,69408.07538115117,68383.52105038986,0,0,0,0,,
1772753400,71187.2,71194.9,70818,70888.8,71187.2,71194.9,70818,70888.8,71136.42488011254,,,,71194.9,,,73912.97491689847,72895.07198498517,71877.16905307189,71136.8760116804,70396.58297028892,69378.68003837563,68360.77710646234,0,0,0,0,,
1772754300,70888.8,70902.9,70737.9,70854.8,70888.8,70902.9,70737.9,70854.8,71089.84018476895,,,,,,,73849.07059837665,72838.15637870712,71827.24215903759,71092.03181745975,70356.82147588191,69345.90725621238,68334.99303654284,0,0,0,0,,
1772755200,70854.8,71024.9,70799.4,70987,70854.8,71024.9,70799.4,70987,71065.16228974989,,,,,,,73806.58190098443,72802.5502064416,71798.51851189879,71068.31364314037,70338.10877438195,69334.07707983913,68330.04538529631,0,0,0,0,,
1772756100,70987,71010.9,70840,70881.2,70987,71010.9,70840,70881.2,71028.77331812916,,,,,,,73752.02437568989,72755.08881001326,71758.15324433665,71033.10919657182,70308.065148807,69311.12958313039,68314.19401745376,0,0,0,0,,
1772757000,70881.2,70972,70842.5,70871.5,70881.2,70972,70842.5,70871.5,70995.23531260624,,,,,,70842.5,73698.86398384398,72709.47612132077,71720.08825879756,71000.53344968977,70280.97864058198,69291.59077805877,68302.20291553556,0,0,0,0,,
1772757900,70871.4,70974,70740,70952.5,70871.4,70974,70740,70952.5,70978.2540295393,,,,,,,73662.31226681656,72680.20720984574,71698.10215287491,70983.84392962341,70269.58570637192,69287.48064940108,68305.37559243027,0,0,0,0,,
